dteday,season,year,month,hour,weekday,workingday,weather_situation,temp,feeling_temperature,humidity,windspeed,casual,registered,count,recency
2011-01-01,Spring,2011,January,0,Sunday,Holiday,Clear,0.24,0.2879,0.81,0.0,3,13,16,730
2011-01-01,Spring,2011,January,1,Sunday,Holiday,Clear,0.22,0.2727,0.8,0.0,8,32,40,730
2011-01-01,Spring,2011,January,2,Sunday,Holiday,Clear,0.22,0.2727,0.8,0.0,5,27,32,730
2011-01-01,Spring,2011,January,3,Sunday,Holiday,Clear,0.24,0.2879,0.75,0.0,3,10,13,730
2011-01-01,Spring,2011,January,4,Sunday,Holiday,Clear,0.24,0.2879,0.75,0.0,0,1,1,730
2011-01-01,Spring,2011,January,5,Sunday,Holiday,Mist,0.24,0.2576,0.75,0.0896,0,1,1,730
2011-01-01,Spring,2011,January,6,Sunday,Holiday,Clear,0.22,0.2727,0.8,0.0,2,0,2,730
2011-01-01,Spring,2011,January,7,Sunday,Holiday,Clear,0.2,0.2576,0.86,0.0,1,2,3,730
2011-01-01,Spring,2011,January,8,Sunday,Holiday,Clear,0.24,0.2879,0.75,0.0,1,7,8,730
2011-01-01,Spring,2011,January,9,Sunday,Holiday,Clear,0.32,0.3485,0.76,0.0,8,6,14,730
2011-01-01,Spring,2011,January,10,Sunday,Holiday,Clear,0.38,0.3939,0.76,0.2537,12,24,36,730
2011-01-01,Spring,2011,January,11,Sunday,Holiday,Clear,0.36,0.3333,0.81,0.2836,26,30,56,730
2011-01-01,Spring,2011,January,12,Sunday,Holiday,Clear,0.42,0.4242,0.77,0.2836,29,55,84,730
2011-01-01,Spring,2011,January,13,Sunday,Holiday,Mist,0.46,0.4545,0.72,0.2985,47,47,94,730
2011-01-01,Spring,2011,January,14,Sunday,Holiday,Mist,0.46,0.4545,0.72,0.2836,35,71,106,730
2011-01-01,Spring,2011,January,15,Sunday,Holiday,Mist,0.44,0.4394,0.77,0.2985,40,70,110,730
2011-01-01,Spring,2011,January,16,Sunday,Holiday,Mist,0.42,0.4242,0.82,0.2985,41,52,93,730
2011-01-01,Spring,2011,January,17,Sunday,Holiday,Mist,0.44,0.4394,0.82,0.2836,15,52,67,730
2011-01-01,Spring,2011,January,18,Sunday,Holiday,Light Snow,0.42,0.4242,0.88,0.2537,9,26,35,730
2011-01-01,Spring,2011,January,19,Sunday,Holiday,Light Snow,0.42,0.4242,0.88,0.2537,6,31,37,730
2011-01-01,Spring,2011,January,20,Sunday,Holiday,Mist,0.4,0.4091,0.87,0.2537,11,25,36,730
2011-01-01,Spring,2011,January,21,Sunday,Holiday,Mist,0.4,0.4091,0.87,0.194,3,31,34,730
2011-01-01,Spring,2011,January,22,Sunday,Holiday,Mist,0.4,0.4091,0.94,0.2239,11,17,28,730
2011-01-01,Spring,2011,January,23,Sunday,Holiday,Mist,0.46,0.4545,0.88,0.2985,15,24,39,730
2011-01-02,Spring,2011,January,0,Monday,Holiday,Mist,0.46,0.4545,0.88,0.2985,4,13,17,729
2011-01-02,Spring,2011,January,1,Monday,Holiday,Mist,0.44,0.4394,0.94,0.2537,1,16,17,729
2011-01-02,Spring,2011,January,2,Monday,Holiday,Mist,0.42,0.4242,1.0,0.2836,1,8,9,729
2011-01-02,Spring,2011,January,3,Monday,Holiday,Mist,0.46,0.4545,0.94,0.194,2,4,6,729
2011-01-02,Spring,2011,January,4,Monday,Holiday,Mist,0.46,0.4545,0.94,0.194,2,1,3,729
2011-01-02,Spring,2011,January,6,Monday,Holiday,Light Snow,0.42,0.4242,0.77,0.2985,0,2,2,729
2011-01-02,Spring,2011,January,7,Monday,Holiday,Mist,0.4,0.4091,0.76,0.194,0,1,1,729
2011-01-02,Spring,2011,January,8,Monday,Holiday,Light Snow,0.4,0.4091,0.71,0.2239,0,8,8,729
2011-01-02,Spring,2011,January,9,Monday,Holiday,Mist,0.38,0.3939,0.76,0.2239,1,19,20,729
2011-01-02,Spring,2011,January,10,Monday,Holiday,Mist,0.36,0.3485,0.81,0.2239,7,46,53,729
2011-01-02,Spring,2011,January,11,Monday,Holiday,Mist,0.36,0.3333,0.71,0.2537,16,54,70,729
2011-01-02,Spring,2011,January,12,Monday,Holiday,Mist,0.36,0.3333,0.66,0.2985,20,73,93,729
2011-01-02,Spring,2011,January,13,Monday,Holiday,Mist,0.36,0.3485,0.66,0.1343,11,64,75,729
2011-01-02,Spring,2011,January,14,Monday,Holiday,Light Snow,0.36,0.3485,0.76,0.194,4,55,59,729
2011-01-02,Spring,2011,January,15,Monday,Holiday,Light Snow,0.34,0.3333,0.81,0.1642,19,55,74,729
2011-01-02,Spring,2011,January,16,Monday,Holiday,Light Snow,0.34,0.3333,0.71,0.1642,9,67,76,729
2011-01-02,Spring,2011,January,17,Monday,Holiday,Clear,0.34,0.3333,0.57,0.194,7,58,65,729
2011-01-02,Spring,2011,January,18,Monday,Holiday,Mist,0.36,0.3333,0.46,0.3284,10,43,53,729
2011-01-02,Spring,2011,January,19,Monday,Holiday,Clear,0.32,0.2879,0.42,0.4478,1,29,30,729
2011-01-02,Spring,2011,January,20,Monday,Holiday,Clear,0.3,0.2727,0.39,0.3582,5,17,22,729
2011-01-02,Spring,2011,January,21,Monday,Holiday,Clear,0.26,0.2273,0.44,0.3284,11,20,31,729
2011-01-02,Spring,2011,January,22,Monday,Holiday,Clear,0.24,0.2121,0.44,0.2985,0,9,9,729
2011-01-02,Spring,2011,January,23,Monday,Holiday,Clear,0.22,0.2273,0.47,0.1642,0,8,8,729
2011-01-03,Spring,2011,January,0,Tuesday,Working Day,Clear,0.22,0.197,0.44,0.3582,0,5,5,728
2011-01-03,Spring,2011,January,1,Tuesday,Working Day,Clear,0.2,0.1667,0.44,0.4179,0,2,2,728
2011-01-03,Spring,2011,January,4,Tuesday,Working Day,Clear,0.16,0.1364,0.47,0.3881,0,1,1,728
2011-01-03,Spring,2011,January,5,Tuesday,Working Day,Clear,0.16,0.1364,0.47,0.2836,0,3,3,728
2011-01-03,Spring,2011,January,6,Tuesday,Working Day,Clear,0.14,0.1061,0.5,0.3881,0,30,30,728
2011-01-03,Spring,2011,January,7,Tuesday,Working Day,Clear,0.14,0.1364,0.5,0.194,1,63,64,728
2011-01-03,Spring,2011,January,8,Tuesday,Working Day,Clear,0.14,0.1212,0.5,0.2836,1,153,154,728
2011-01-03,Spring,2011,January,9,Tuesday,Working Day,Clear,0.16,0.1364,0.43,0.3881,7,81,88,728
2011-01-03,Spring,2011,January,10,Tuesday,Working Day,Clear,0.18,0.1667,0.43,0.2537,11,33,44,728
2011-01-03,Spring,2011,January,11,Tuesday,Working Day,Clear,0.2,0.1818,0.4,0.3284,10,41,51,728
2011-01-03,Spring,2011,January,12,Tuesday,Working Day,Clear,0.22,0.2121,0.35,0.2985,13,48,61,728
2011-01-03,Spring,2011,January,13,Tuesday,Working Day,Clear,0.24,0.2121,0.35,0.2836,8,53,61,728
2011-01-03,Spring,2011,January,14,Tuesday,Working Day,Clear,0.26,0.2424,0.3,0.2836,11,66,77,728
2011-01-03,Spring,2011,January,15,Tuesday,Working Day,Clear,0.26,0.2424,0.3,0.2537,14,58,72,728
2011-01-03,Spring,2011,January,16,Tuesday,Working Day,Clear,0.26,0.2424,0.3,0.2537,9,67,76,728
2011-01-03,Spring,2011,January,17,Tuesday,Working Day,Clear,0.24,0.2273,0.3,0.2239,11,146,157,728
2011-01-03,Spring,2011,January,18,Tuesday,Working Day,Clear,0.24,0.2576,0.32,0.1045,9,148,157,728
2011-01-03,Spring,2011,January,19,Tuesday,Working Day,Clear,0.2,0.2576,0.47,0.0,8,102,110,728
2011-01-03,Spring,2011,January,20,Tuesday,Working Day,Clear,0.2,0.2273,0.47,0.1045,3,49,52,728
2011-01-03,Spring,2011,January,21,Tuesday,Working Day,Clear,0.18,0.197,0.64,0.1343,3,49,52,728
2011-01-03,Spring,2011,January,22,Tuesday,Working Day,Clear,0.14,0.1515,0.69,0.1343,0,20,20,728
2011-01-03,Spring,2011,January,23,Tuesday,Working Day,Clear,0.18,0.2121,0.55,0.1045,1,11,12,728
2011-01-04,Spring,2011,January,0,Wednesday,Working Day,Clear,0.16,0.1818,0.55,0.1045,0,5,5,727
2011-01-04,Spring,2011,January,1,Wednesday,Working Day,Clear,0.16,0.1818,0.59,0.1045,0,2,2,727
2011-01-04,Spring,2011,January,2,Wednesday,Working Day,Clear,0.14,0.1515,0.63,0.1343,0,1,1,727
2011-01-04,Spring,2011,January,4,Wednesday,Working Day,Clear,0.14,0.1818,0.63,0.0896,0,2,2,727
2011-01-04,Spring,2011,January,5,Wednesday,Working Day,Clear,0.12,0.1515,0.68,0.1045,0,4,4,727
2011-01-04,Spring,2011,January,6,Wednesday,Working Day,Clear,0.12,0.1515,0.74,0.1045,0,36,36,727
2011-01-04,Spring,2011,January,7,Wednesday,Working Day,Clear,0.12,0.1515,0.74,0.1343,2,92,94,727
2011-01-04,Spring,2011,January,8,Wednesday,Working Day,Clear,0.14,0.1515,0.69,0.1642,2,177,179,727
2011-01-04,Spring,2011,January,9,Wednesday,Working Day,Clear,0.16,0.1515,0.64,0.2239,2,98,100,727
2011-01-04,Spring,2011,January,10,Wednesday,Working Day,Mist,0.16,0.1364,0.69,0.3284,5,37,42,727
2011-01-04,Spring,2011,January,11,Wednesday,Working Day,Clear,0.22,0.2121,0.51,0.2985,7,50,57,727
2011-01-04,Spring,2011,January,12,Wednesday,Working Day,Clear,0.22,0.2273,0.51,0.1642,12,66,78,727
2011-01-04,Spring,2011,January,13,Wednesday,Working Day,Clear,0.24,0.2273,0.56,0.194,18,79,97,727
2011-01-04,Spring,2011,January,14,Wednesday,Working Day,Clear,0.26,0.2576,0.52,0.2239,9,54,63,727
2011-01-04,Spring,2011,January,15,Wednesday,Working Day,Clear,0.28,0.2727,0.52,0.2537,17,48,65,727
2011-01-04,Spring,2011,January,16,Wednesday,Working Day,Clear,0.3,0.2879,0.49,0.2537,15,68,83,727
2011-01-04,Spring,2011,January,17,Wednesday,Working Day,Clear,0.28,0.2727,0.48,0.2239,10,202,212,727
2011-01-04,Spring,2011,January,18,Wednesday,Working Day,Clear,0.26,0.2576,0.48,0.194,3,179,182,727
2011-01-04,Spring,2011,January,19,Wednesday,Working Day,Clear,0.24,0.2576,0.48,0.1045,2,110,112,727
2011-01-04,Spring,2011,January,20,Wednesday,Working Day,Clear,0.24,0.2576,0.48,0.1045,1,53,54,727
2011-01-04,Spring,2011,January,21,Wednesday,Working Day,Clear,0.22,0.2727,0.64,0.0,0,48,48,727
2011-01-04,Spring,2011,January,22,Wednesday,Working Day,Clear,0.22,0.2576,0.64,0.0896,1,34,35,727
2011-01-04,Spring,2011,January,23,Wednesday,Working Day,Clear,0.2,0.2273,0.69,0.0896,2,9,11,727
2011-01-05,Spring,2011,January,0,Thursday,Working Day,Clear,0.2,0.2576,0.64,0.0,0,6,6,726
2011-01-05,Spring,2011,January,1,Thursday,Working Day,Clear,0.16,0.197,0.74,0.0896,0,6,6,726
2011-01-05,Spring,2011,January,2,Thursday,Working Day,Clear,0.16,0.197,0.74,0.0896,0,2,2,726
2011-01-05,Spring,2011,January,4,Thursday,Working Day,Clear,0.24,0.2273,0.48,0.2239,0,2,2,726
2011-01-05,Spring,2011,January,5,Thursday,Working Day,Clear,0.22,0.2273,0.47,0.1642,0,3,3,726
2011-01-05,Spring,2011,January,6,Thursday,Working Day,Clear,0.2,0.197,0.47,0.2239,0,33,33,726
2011-01-05,Spring,2011,January,7,Thursday,Working Day,Clear,0.18,0.1818,0.43,0.194,1,87,88,726
2011-01-05,Spring,2011,January,8,Thursday,Working Day,Clear,0.2,0.1818,0.4,0.2985,3,192,195,726
2011-01-05,Spring,2011,January,9,Thursday,Working Day,Clear,0.22,0.197,0.37,0.3284,6,109,115,726
2011-01-05,Spring,2011,January,10,Thursday,Working Day,Clear,0.22,0.197,0.37,0.3284,4,53,57,726
2011-01-05,Spring,2011,January,11,Thursday,Working Day,Clear,0.26,0.2273,0.33,0.3284,12,34,46,726
2011-01-05,Spring,2011,January,12,Thursday,Working Day,Clear,0.26,0.2273,0.33,0.3284,5,74,79,726
2011-01-05,Spring,2011,January,13,Thursday,Working Day,Clear,0.28,0.2576,0.3,0.2985,6,65,71,726
2011-01-05,Spring,2011,January,14,Thursday,Working Day,Clear,0.3,0.2879,0.28,0.194,10,52,62,726
2011-01-05,Spring,2011,January,15,Thursday,Working Day,Clear,0.3,0.2879,0.28,0.194,7,55,62,726
2011-01-05,Spring,2011,January,16,Thursday,Working Day,Clear,0.3,0.3182,0.28,0.0896,4,85,89,726
2011-01-05,Spring,2011,January,17,Thursday,Working Day,Clear,0.24,0.2273,0.38,0.194,4,186,190,726
2011-01-05,Spring,2011,January,18,Thursday,Working Day,Clear,0.24,0.2424,0.38,0.1343,3,166,169,726
2011-01-05,Spring,2011,January,19,Thursday,Working Day,Clear,0.24,0.2576,0.38,0.1045,5,127,132,726
2011-01-05,Spring,2011,January,20,Thursday,Working Day,Clear,0.22,0.2273,0.47,0.1642,7,82,89,726
2011-01-05,Spring,2011,January,21,Thursday,Working Day,Clear,0.2,0.197,0.51,0.194,3,40,43,726
2011-01-05,Spring,2011,January,22,Thursday,Working Day,Clear,0.18,0.197,0.55,0.1343,1,41,42,726
2011-01-05,Spring,2011,January,23,Thursday,Working Day,Clear,0.2,0.2576,0.47,0.0,1,18,19,726
2011-01-06,Spring,2011,January,0,Friday,Working Day,Clear,0.18,0.2424,0.55,0.0,0,11,11,725
2011-01-06,Spring,2011,January,1,Friday,Working Day,Clear,0.16,0.2273,0.64,0.0,0,4,4,725
2011-01-06,Spring,2011,January,2,Friday,Working Day,Clear,0.16,0.2273,0.64,0.0,0,2,2,725
2011-01-06,Spring,2011,January,4,Friday,Working Day,Mist,0.16,0.197,0.64,0.0896,0,1,1,725
2011-01-06,Spring,2011,January,5,Friday,Working Day,Mist,0.14,0.1818,0.69,0.0896,0,4,4,725
